City,Name,Address,Website,Number,Operating days/hours,Languages,Services Provided,Payments Accepted,Service Area,Requirements,Other
,Reagan Medical Center - Grayson Hwy ,"289 Grayson Hwy, Lawrenceville, GA 30046",https://rmc.md/,770-771-5560,"Monday	8:00 AM - 7:30 PM 
Tuesday	8:00 AM - 7:30 PM 
Wednesday	8:00 AM - 7:30 PM 
Thursday	8:00 AM - 7:30 PM 
Friday		8:00 AM - 7:30 PM 
",Many front office staff members speak English and Spanish. ,"Services provided at all locations include: blood work, ABIs (Ankle Brachial Index), EKGs, geriatric care, Holter monitors, Lung Function Tests, pain management, pap smears, suturing, urgent care, acute care, physicials and medical help with smoke cessation, fractures and splints, weight loss, workers compensation, X-rays, and pain management 
"," Medicaid, Medicare, PeachCare, Uninsured/Underinsured, Self Pay 
",,Insured patients must have an insurance card and ID. Medicare patients must have the name of the physician at the facility listed as PCP. This can be done at the facility once they are there by calling Medicare. ,
,"Rodriguez MD 
","771 Old Norcross Rd., Suite 120, Lawrenceville, GA, 30046",https://lawrenceville-doctors.com/,770-670-6920,"Monday	7:30 AM - 5:00 PM 
Tuesday	7:30 AM - 5:00 PM 
Wednesday	7:30 AM - 5:00 PM 
Thursday	7:30 AM - 5:00 PM 
Friday		7:30 AM - 5:00 PM 


","English and Spanish, French, Haitian Creole 
","General Practice (Smoking Cessation, Emphysema, Arthritis, Mole Biopsy and Excisions, Lacerations & Sutures, Diabetes, Bone Density/Osteoporosis Treatment, Mental Health), Family Medicine (Women's Health, Preventative Health, Family Planning, Communicable Diseases, Immunizations, Allergy Testing, Cold & Flu, Labs), Medical Weight Loss, COVID-19 Resources 
"," Medicaid, Medicare, Self Pay ","Dacula, Duluth, Grayson, Lawrenceville, Lilburn, Loganville, Norcross, Snellville, Suwanee 
"," Bring active medications list or bottles, previous PCP info or specialist info, Photo ID & Proof of insurance ",
,"Southern Surgical Associates
","743 Old Norcross Rd., Lawrenceville, GA, 30046",https://gwinnettgeneralsurgeons.com/," 770-513-1763","Monday	8:30 AM - 5:00 PM
Tuesday	8:30 AM - 5:00 PM
Wednesday	8:30 AM - 5:00 PM
Thursday	8:30 AM - 5:00 PM
Friday		8:30 AM - 5:00 PM
","English, Spanish","Hernia Repairs, Breast Procedures, Soft tissue excisions, Laparoscopic cholecystectomies, Hemorrhoidectomies, Pilonidal cystectomies
","Medicaid, Medicare",,May download new-patient forms on website for first time visits. Bring proof of insurance and ID,
,Salveo Integrative Health ,"311 Gwinnett Dr. SW, Lawrenceville, GA, 30046",https://salveohealth.org/,"770-910-9196","Monday	9:00 AM - 5:00 PM 
Tuesday	9:00 AM - 5:00 PM 
Wednesday	9:00 AM - 5:00 PM 
Thursday	9:00 AM - 5:00 PM 
Friday		9:00 AM - 5:00 PM 
",English,"Salveo psychiatrists provide treatment for Depression, Anxiety, Attention Deficit Disorder, Child & Adolescent Behavior Disorders, Psychosis, Dementia, Alzheimer’s Disease, Bipolar Disorder, Substance Abuse, Trauma, Grief, Family Issues, LGBTQ Issues, and many other behavioral health concerns.
",Sliding Scale Fee,,,"Walk Ins - Monday, Wednesday, Thursdays 9am – 3pm"
,"Strickland Family Medicine Center
","665 Duluth Hwy., Suite 501, Lawrenceville, GA, 30046",https://www.northside.com/locations/strickland-family-medicine-center," 678-312-0400
","Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 8:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 5:00 PM","English, Spanish","Newborn care to geriatrics, including maternity care
",,,,
,"Sugarloaf Urgent Care
","4835 Sugarloaf Pkwy., #200, Lawrenceville, GA, 30044",https://www.sugarloafurgentcare.com/,470-375-5940,"Monday	8:30 AM - 7:00 PM
Tuesday	8:30 AM - 7:00 PM
Wednesday	8:30 AM - 7:00 PM
Thursday	8:30 AM - 7:00 PM
Friday		8:30 AM - 7:00 PM
Saturday	8:30 AM - 4:00 PM
Sunday	11:30 AM - 5:00 PM
","English, Spanish, French, Haitian-Creole, Hindi, Urdu, Gujrati
"," Urgent Care, Covid-19 Testing","Medicaid, Medicare, Self Pay, Uninsured/Underinsured, PeachCare",,,
,Sugarloaf Vision Center,"4825 Sugarloaf Pkwy., Ste F, Lawrenceville, GA, 30044",https://www.sugarloafvisioncenter.com/,770-559-9670,"Monday	9:30 AM - 6:00 PM
Tuesday	10:00 AM - 5:00 PM
Wednesday	9:30 AM - 6:00 PM
Thursday	10:00 AM - 5:00 PM
Friday		9:30 AM - 6:00 PM
Saturday	9:30 AM - 5:00 PM
",English,"Vision care, Eye exams","Medicare, Self Pay	",,,
,"Suwanee Pediatrics 
","1155 Lawrenceville-Suwanee Rd., Lawrenceville, GA, 30043",https://suwaneepediatrics.com/,678-442-0205,"Monday	9:00 AM - 5:00 PM 
Tuesday	9:00 AM - 5:00 PM 
Wednesday	9:00 AM - 5:00 PM 
Thursday	9:00 AM - 5:00 PM 
Friday		9:00 AM - 1:00 PM 
Saturday	8:00 AM - 11:00 AM 
","English, Spanish, Vietnamese, Language Line 
","Pediatric Care: Immunizations, Allergy & Asthma, Sick Care Visits, Wellness Check-ups, Education/Concern Visits, Ear Lavage. Adolescent Care, Adult Services, Labs, Dermatology 
","Medicaid, PeachCare, Sliding Scale Fee, Self Pay 
",,"Photo ID, Proof of Insurance, Shot records",
,"The Hope Clinic 
","121 Langley Dr., Lawrenceville, GA, 30046",https://www.hopeclinicgwinnett.info/,770-685-1300 ,"Monday	7:30 AM - 4:00 PM 
Tuesday	7:30 AM - 4:00 PM 
Wednesday	7:30 AM - 12:00 PM 
Thursday	7:30 AM - 4:00 PM 
Friday		7:30 AM - 12:00 PM ","English, Encouraged to bring interpreter for other languages "," General Medical Services, Chronic Disease Management (appointment only), Mental Health (thru partnership with Salveo Integrative Health), Psychiatry, Medication Assistance, Lab & X-Ray, Ultrasound Services 
","Medicaid, Medicare, Uninsured/Underinsured, Sliding Scale Fee ",,"For first visits, bring medications list and/or papers from hospital visit if doing hospital follow-up. Proof of income for uninsured. ",
,"Tonge Eye Care
","170 Camden Hill Rd., , Lawrenceville, GA, 30046",https://visionsource-tongeeyecare.com/,770-963-2903,"Monday        8:30 AM - 6:30 PM
Tuesday        8:30 AM - 5:30 PM
Wednesday        8:30 AM - 5:30 PM
Thursday        8:30 AM - 5:30 PM
Friday                8:30 AM - 2:00 PM",English,"Vision care, Eye exams
","Medicare , Self Pay
",,,
,"Transforming Smiles - Bruce E. Carter, DMD
","751 Old Norcross Rd, Lawrenceville, GA, 30046",https://www.gwinnettsmiles.com/contact-us.html,770-574-4540,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		By appointment only
","English, Spanish
",Dental care,Self-pay,,,
,"Truth's Community Clinic
","250 Langley Dr., Suite 1316, Lawrenceville, GA, 30046",https://www.truthsclinic.org/,770-277-4675 ,"Monday 10:00 AM - 3:00 PM  
","English, Spanish interpreter available upon request.
","Non-emergency primary care, which includes medical, pharmaceutical, and dental services for qualifying patients over the age of 18. The clinic treats conditions related to high blood pressure, high cholesterol, non-insulin diabetes, asthma, thyroid issues, and women's health. The clinic is unable to manage conditions such as common colds, insulin-dependent diabetes, cancer, orthopedic concerns, and heart-related problems. Dental Clinics are offered on the first and third Thursday of each month. The clinic treats dental conditions related to fillings and extractions. The clinic is unable to manage conditions requiring root canals, crowns, and implants. 
","Uninsured/Underinsured, Sliding Scale Fee, Self Pay ","Patients must reside in Lawrenceville, Buford, Dacula, and Auburn (Gwinnett County side of Buford and Auburn) Medical patients may qualify if they live outside of these areas, but dental patients MUST live within these locations. ","Must have no insurance, no Medicaid or Medicare; fall within 100 % of the Federal Poverty Level; and have a condition that Truth's Community Clinic treats. Patients who qualify based on the criteria above must then complete an application and call for an appointment. Complete and return the New Patient Forms on Monday to verify that you qualify for services. If you qualify, an appointment will be scheduled. Those with no proof of income will not be turned away from services. BY APPOINTMENT ONLY: Contact the clinic between 10 am - 3 pm Monday to see if you qualify for services. Appointments are scheduled for qualified patients on the 1st & 3rd Tuesday nights and on the 2nd and 4th Monday mornings. ",
,"View Point Health
","175 Gwinnett Dr., Suite 260, Lawrenceville, GA, 30046",https://www.myviewpointhealth.org/locations/,678-209-2411 ,"Monday	8:00 AM - 5:00 PM 
Tuesday	8:00 AM - 5:00 PM 
Wednesday	8:00 AM - 5:00 PM 
Thursday	8:00 AM - 5:00 PM 
Friday		8:00 AM - 5:00 PM","English, Spanish
","Services for those with intellectual and developmental disabilities, mental health and substance abuse disorders. Provides outpatient care as well as community, specialty, and acute services. 
","Medicaid, Medicare, Uninsured/Underinsured",," Driver’s License or state-issued ID card, your health insurance cards, proof of address (a recent utility bill, rent receipt, or lease agreement in your name), proof of income (paycheck stub, letter from Social Security, or Earning Statement from the Department of Labor). ",
,"Wood Eyecare Center
","2100 Riverside Pkwy. #108, Lawrenceville, GA, 30043",https://www.woodeyecare.com/,"770-237-8820","Tuesday	9:00 AM - 6:00 PM
Wednesday	9:30 AM - 6:00 PM
Thursday	9:30 AM - 6:00 PM
Friday		9:00 AM - 6:00 PM
Saturday	9:00 AM - 1:00 PM","English, Spanish"," Vision care, Eye exams
"," Medicare, Self Pay",,,
,Toxicology Associates of North Georgia,"751 Collins Hill Rd. Lawrenceville, GA, 30046",http://www.tanghelp.com/,770-248-1616,"Monday	5:30 AM - 10:00 AM
Tuesday	5:30 AM - 10:00 AM
Wednesday	5:30 AM - 10:00 AM
Thursday	5:30 AM - 10:00 AM
Friday		5:30 AM - 10:00 AM
Saturday	6:00 AM - 8:00 AM",English,"Medication Assisted Treatment for Opiod Addiction",Self Pay,,,
,"Maternal Gynerations
","600 Professional Dr., Suite 200, Lawrenceville, GA, 30046",https://www.matgyn.com/,770-513-4000,"Monday	8:00 AM - 5:00 PM
Tuesday	8:00 AM - 5:00 PM
Wednesday	8:00 AM - 5:00 PM
Thursday	8:00 AM - 5:00 PM
Friday		8:00 AM - 2:00 PM
","English, Interpreter Line
","Obstetrics, Gynecology, Infertility, Mammography, Lab Testing, Ultrasound, Cosmetic Botox
",Proof of insurance and ID,,,
,"Autumn Leaves Sugarloaf-Assisted Living 
","1475 Satellite Blvd., Suwanee, GA, 30024",https://autumnleaves.com/sugarloaf-centenarian-horace/,678-990-4580 ,"Monday	By Appointment 
Tuesday	By Appointment 
Wednesday	By Appointment 
Thursday	By Appointment 
Friday	By Appointment 
",English,"Senior assisted living/memory care "," Sliding Scale Fee 
",,,
